ORDER_ID,ASN_DN,SHIPMENT_MODE,SCHEDULED_DELIVERY_DATE,ACTUAL_DELIVERY_DATE,DELIVERY_RECORDED_DATE
SCMS-38660,ASN-3710,Air,0009-04-28,0009-04-28,0009-04-28
SCMS-39640,ASN-4747,Air,0009-09-30,0009-09-30,0009-09-30
SCMS-40000,ASN-3675,Air,0009-03-31,0009-03-31,0009-03-31
SCMS-40000,ASN-3675,Air,0009-03-31,0009-03-31,0009-03-31
SCMS-40030,ASN-3750,Air,0009-04-15,0009-04-15,0009-04-15
SCMS-40810,ASN-3634,Air,0009-03-31,0008-12-02,0008-12-02
SCMS-41040,ASN-3623,Air,0009-04-07,0008-12-03,0008-12-03
SCMS-41040,ASN-3623,Air,0009-04-07,0008-12-03,0008-12-03
SCMS-41060,ASN-3624,Air,0009-05-05,0008-12-23,0008-12-23
SCMS-41070,ASN-3625,Air,0009-05-12,0008-12-30,0008-12-30
SCMS-41140,ASN-3752,Air,0009-03-31,0008-11-21,0008-11-21
SCMS-41462,ASN-4361,Air,0009-06-25,0009-04-21,0009-04-21
SCMS-41460,ASN-4502,Truck,0009-06-25,0009-06-05,0009-06-05
SCMS-41464,ASN-4634,Air,0009-06-25,0009-06-17,0009-06-17
SCMS-41480,ASN-5055,Truck,0009-08-19,0009-08-19,0009-08-19
SCMS-41581,ASN-4196,Air,0009-06-25,0009-04-14,0009-04-14
SCMS-41589,ASN-4358,Air,0009-06-25,0009-04-29,0009-04-29
SCMS-41584,ASN-4385,Air,0009-06-25,0009-04-20,0009-04-20
SCMS-41870,ASN-4896,Air,0009-11-13,0009-11-13,0009-11-13
SCMS-42210,ASN-4086,Air,0009-06-30,0009-06-30,0009-06-30
SCMS-42230,ASN-4423,Air,0009-07-22,0009-07-22,0009-07-22
SCMS-47390,ASN-4402,Truck,0009-07-31,0009-04-21,0009-04-21
SCMS-47430,ASN-4244,Truck,0009-05-15,0009-04-17,0009-04-17
SCMS-47500,ASN-4332,Truck,0009-05-15,0009-04-23,0009-04-23
SCMS-42720,ASN-4787,Air,0009-09-16,0009-09-16,0009-09-16
SCMS-42980,ASN-4343,Air,0009-07-10,0009-07-10,0009-07-10
SCMS-43330,ASN-4437,Air,0009-08-18,0009-08-18,0009-08-18
SCMS-43890,ASN-4503,Air,0009-07-25,0009-07-25,0009-07-25
SCMS-44130,ASN-4791,Air,0009-09-15,0009-09-15,0009-09-15
SCMS-44990,ASN-4302,Air,0009-07-17,0009-07-17,0009-07-17
SCMS-45080,ASN-4420,Air,0009-07-10,0009-07-10,0009-07-10
SCMS-46071,ASN-4324,Air,0009-06-12,0009-07-10,0009-07-10
SCMS-46120,ASN-4659,Air,0009-09-01,0009-09-01,0009-09-01
SCMS-46550,ASN-4488,Air,0009-07-28,0009-07-28,0009-07-28
SCMS-46820,ASN-4311,Air,0009-06-29,0009-06-29,0009-06-29
SCMS-46970,ASN-4821,Truck,0009-07-28,0009-07-28,0009-07-28
SCMS-47051,ASN-4838,Truck,0009-10-12,0009-08-05,0009-08-05
SCMS-47051,ASN-4836,Truck,0009-10-12,0009-07-28,0009-07-28
SCMS-1,ASN-5,Air,0006-06-27,0006-06-27,0006-06-27
SCMS-5,ASN-7,Air,0006-07-14,0006-07-14,0006-07-14
SCMS-12,ASN-91,Air,0006-11-16,0006-11-16,0006-11-16
SCMS-74,ASN-46,Air,0006-11-09,0006-11-09,0006-11-09
SCMS-135,ASN-79,Air,0006-11-07,0006-11-07,0006-11-07
SCMS-156,ASN-93,Air,0006-12-07,0006-12-07,0006-12-07
SCMS-169,ASN-272,Air,0007-03-14,0007-03-14,0007-03-14
SCMS-170,ASN-273,Air,0007-03-14,0007-03-14,0007-03-14
SCMS-177,ASN-136,Air,0006-12-29,0006-12-29,0006-12-29
SCMS-211,ASN-229,Air,0007-02-15,0007-02-15,0007-02-15
SCMS-262,ASN-386,Air,0007-05-12,0007-05-12,0007-05-12
SCMS-268,ASN-242,Air,0007-02-27,0007-02-27,0007-02-27
SCMS-268,ASN-242,Air,0007-02-27,0007-02-27,0007-02-27
SCMS-284,ASN-168,Air,0006-12-28,0006-12-28,0006-12-28
SCMS-314,ASN-624,Air,0007-08-24,0007-08-24,0007-08-24
SCMS-343,ASN-259,Air,0007-03-15,0007-03-30,0007-03-30
SCMS-360,ASN-201,Air,0007-01-15,0007-01-15,0007-01-15
SCMS-610,ASN-813,Air,0007-10-23,0007-10-23,0007-10-23
SCMS-695,ASN-622,Air,0007-09-07,0007-09-07,0007-09-07
SCMS-698,ASN-727,Air,0007-10-02,0007-10-02,0007-10-02
SCMS-749,ASN-744,Air,0007-10-02,0007-10-02,0007-10-02
SCMS-749,ASN-744,Air,0007-10-02,0007-10-02,0007-10-02
SCMS-753,ASN-781,Air,0007-10-15,0007-10-15,0007-10-15
SCMS-753,ASN-782,Air,0007-10-15,0007-10-15,0007-10-15
SCMS-754,ASN-926,Air,0007-11-23,0007-11-23,0007-11-23
SCMS-757,ASN-631,Air,0007-08-27,0007-08-27,0007-08-27
SCMS-10240,ASN-649,Air,0007-09-19,0007-09-19,0007-09-19
SCMS-13900,ASN-990,Air,0008-01-28,0008-01-28,0008-01-28
SCMS-14050,ASN-1251,,0008-01-29,0008-01-29,0008-01-29
SCMS-14050,ASN-1251,,0008-01-29,0008-01-29,0008-01-29
SCMS-14170,ASN-1439,Air,0008-03-28,0008-03-28,0008-03-28
SCMS-14640,ASN-1167,Air,0008-01-21,0008-01-21,0008-01-21
SCMS-14750,ASN-1194,Air,0008-01-28,0008-01-28,0008-01-28
SCMS-14760,ASN-1230,Air,0008-02-01,0008-02-01,0008-02-01
SCMS-14770,ASN-1061,Air,0007-12-27,0007-12-27,0007-12-27
SCMS-15550,ASN-1197,Air,0008-02-05,0008-02-05,0008-02-05
SCMS-16600,ASN-1520,,0008-01-21,0008-01-04,0008-01-04
SCMS-16730,ASN-1721,Air,0008-07-03,0008-07-03,0008-07-03
SCMS-16890,ASN-2014,Air,0008-09-19,0008-07-16,0008-07-16
SCMS-17800,ASN-1368,Air,0008-03-27,0008-03-27,0008-03-27
SCMS-18030,ASN-1619,Air,0008-05-14,0008-05-14,0008-05-14
SCMS-18240,ASN-1789,Air,0008-06-06,0008-05-30,0008-05-30
SCMS-18320,ASN-3465,Air,0009-03-04,0009-03-04,0009-03-04
SCMS-18340,ASN-1746,Air,0008-07-09,0008-07-04,0008-07-04
SCMS-18420,ASN-1469,Air,0008-04-08,0008-04-04,0008-04-04
SCMS-18450,ASN-1934,Air,0008-07-22,0008-07-22,0008-07-22
SCMS-18470,ASN-2887,Air,0008-12-19,0008-12-19,0008-12-19
SCMS-18490,ASN-1612,Air,0008-05-06,0008-05-06,0008-05-06
SCMS-18500,ASN-2100,Air,0008-07-28,0008-07-28,0008-07-28
SCMS-18550,ASN-1448,Air,0008-04-11,0008-04-11,0008-04-11
SCMS-25090,ASN-2256,Air,0008-08-16,0008-08-16,0008-08-16
SCMS-18870,ASN-2435,Air,0008-11-17,0008-10-21,0008-10-21
SCMS-19800,ASN-1665,Truck,0008-04-24,0008-04-24,0008-04-24
SCMS-19800,ASN-1665,Truck,0008-04-24,0008-04-24,0008-04-24
SCMS-19800,ASN-1665,Truck,0008-04-24,0008-04-24,0008-04-24
SCMS-20180,ASN-1860,Air,0008-07-07,0008-06-20,0008-06-20
SCMS-20340,ASN-1754,Air,0008-06-01,0008-06-01,0008-06-01
SCMS-21270,ASN-1668,Air,0008-05-09,0008-05-09,0008-05-09
SCMS-21460,ASN-1667,,0008-04-25,0008-04-07,0008-04-07
SCMS-21460,ASN-2291,,0008-04-25,0008-04-25,0008-04-25
SCMS-21460,ASN-1667,,0008-04-25,0008-04-07,0008-04-07
SCMS-21580,ASN-1797,Air,0008-05-28,0008-05-28,0008-05-28
SCMS-23370,ASN-2523,Air,0008-10-03,0008-10-03,0008-10-03
SCMS-23470,ASN-2244,Air,0008-08-19,0008-08-19,0008-08-19
SCMS-23500,ASN-2293,Truck,0008-08-20,0008-05-08,0008-05-08
SCMS-23500,ASN-2296,Truck,0008-08-20,0008-05-21,0008-05-21
SCMS-23500,ASN-2300,Truck,0008-08-20,0008-05-14,0008-05-14
SCMS-23500,ASN-2293,Truck,0008-08-20,0008-05-08,0008-05-08
SCMS-23980,ASN-2640,Air,0008-10-27,0008-10-27,0008-10-27
SCMS-25520,ASN-2079,Air,0008-07-23,0008-07-22,0008-07-22
SCMS-25520,ASN-2080,Air,0008-07-23,0008-07-23,0008-07-23
SCMS-26180,ASN-2274,Air,0008-09-19,0008-09-19,0008-09-19
SCMS-26190,ASN-2562,Air,0008-10-03,0008-10-03,0008-10-03
SCMS-26820,ASN-2487,Truck,0008-07-10,0008-07-14,0008-07-14
SCMS-26820,ASN-2488,Truck,0008-07-10,0008-07-08,0008-07-08
SCMS-26820,ASN-2488,Truck,0008-07-10,0008-07-08,0008-07-08
SCMS-26820,ASN-2488,Truck,0008-07-10,0008-07-08,0008-07-08
SCMS-27010,ASN-2448,Air,0008-09-22,0008-09-22,0008-09-22
SCMS-27030,ASN-2638,Air,0008-10-29,0008-10-29,0008-10-29
SCMS-27060,ASN-2438,Air,0008-10-15,0008-10-15,0008-10-15
SCMS-27070,ASN-2352,Air,0008-09-12,0008-09-12,0008-09-12
SCMS-27290,ASN-2854,Air,0008-12-02,0008-12-02,0008-12-02
SCMS-27310,ASN-2809,Air,0008-11-24,0008-11-24,0008-11-24
SCMS-27350,ASN-2766,Air,0008-11-25,0008-11-25,0008-11-25
SCMS-27380,ASN-2873,Air,0008-12-03,0008-12-03,0008-12-03
SCMS-27680,ASN-2910,Air,0008-12-15,0008-12-15,0008-12-15
SCMS-27800,ASN-2592,Air,0008-11-03,0008-10-13,0008-10-13
SCMS-27800,ASN-2747,Air,0008-11-03,0008-11-03,0008-11-03
SCMS-28710,ASN-2576,Air,0008-10-07,0008-10-07,0008-10-07
SCMS-28830,ASN-2503,Truck,0008-08-25,0008-08-14,0008-08-14
SCMS-28830,ASN-2503,Truck,0008-08-25,0008-08-14,0008-08-14
SCMS-32630,ASN-3155,Air,0009-01-26,0009-01-20,0009-01-20
SCMS-32640,ASN-2935,Air,0008-12-03,0008-12-03,0008-12-03
SCMS-32660,ASN-3228,Air,0009-02-03,0009-02-03,0009-02-03
SCMS-33070,ASN-2888,Air,0008-11-27,0008-11-27,0008-11-27
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-33320,ASN-3553,Truck,0009-05-17,0008-10-09,0008-10-09
SCMS-33820,ASN-3665,Air,0009-04-08,0009-04-08,0009-04-08
SCMS-33850,ASN-3110,Air,0009-01-27,0009-01-27,0009-01-27
SCMS-36540,ASN-3166,Air,0009-02-25,0009-01-27,0009-01-27
SCMS-37060,ASN-3303,Air,0009-03-02,0009-03-02,0009-03-02
SCMS-37160,ASN-3561,Air,0009-04-07,0009-04-07,0009-04-07
SCMS-37170,ASN-3562,Air,0009-04-10,0009-04-10,0009-04-10
SCMS-37370,ASN-3497,Air,0009-04-08,0009-04-08,0009-04-08
SCMS-38160,ASN-3457,Air,0009-03-16,0009-03-16,0009-03-16
SCMS-39970,ASN-3628,Air,0009-04-02,0009-04-02,0009-04-02
SCMS-40370,ASN-3857,Air,0009-05-26,0009-05-26,0009-05-26
SCMS-40780,ASN-3607,Air,0009-03-17,0008-11-28,0008-11-28
SCMS-40790,ASN-3575,Air,0009-03-24,0008-12-01,0008-12-01
SCMS-40810,ASN-3634,Air,0009-03-31,0008-12-02,0008-12-02
SCMS-40860,ASN-3581,Air,0009-06-23,0009-01-29,0009-01-29
SCMS-41070,ASN-3625,Air,0009-05-12,0008-12-30,0008-12-30
SCMS-41080,ASN-3638,Air,0009-05-26,0009-01-22,0009-01-22
SCMS-41140,ASN-3752,Air,0009-03-31,0008-11-21,0008-11-21
SCMS-41190,ASN-3732,Air,0009-03-30,0009-01-21,0009-01-21
SCMS-41190,ASN-3732,Air,0009-03-30,0009-01-21,0009-01-21
SCMS-41240,ASN-3904,Air,0009-05-04,0009-05-04,0009-05-04
SCMS-41450,ASN-4362,Truck,0009-04-17,0009-04-17,0009-04-17
SCMS-41584,ASN-4385,Air,0009-06-25,0009-04-20,0009-04-20
SCMS-41584,ASN-4385,Air,0009-06-25,0009-04-20,0009-04-20
SCMS-30312,ASN-3851,Air,0009-04-20,0009-04-20,0009-04-20
SCMS-47420,ASN-4280,Air,0009-07-31,0009-04-20,0009-04-20
SCMS-47360,ASN-4286,Truck,0009-07-31,0009-05-04,0009-05-04
SCMS-42250,ASN-4612,Truck,0009-07-31,0009-06-08,0009-06-08
SCMS-42290,ASN-3987,Air,0009-06-05,0009-06-05,0009-06-05
SCMS-42320,ASN-4291,Air,0009-07-01,0009-07-01,0009-07-01
SCMS-47500,ASN-4332,Truck,0009-05-15,0009-04-23,0009-04-23
SCMS-42830,ASN-3984,Air,0009-05-20,0009-05-20,0009-05-20
SCMS-42970,ASN-4098,Air,0009-06-18,0009-06-18,0009-06-18
SCMS-42970,ASN-4099,Air,0009-06-18,0009-06-18,0009-06-18
SCMS-36892,ASN-4206,Air,0009-07-14,0009-07-14,0009-07-14
SCMS-43880,ASN-4462,Air,0009-07-20,0009-07-20,0009-07-20
SCMS-44120,ASN-4289,Air,0009-06-10,0009-07-15,0009-07-15
SCMS-44960,ASN-4186,Air,0009-06-15,0009-06-15,0009-06-15
SCMS-44980,ASN-4094,Air,0009-06-08,0009-06-08,0009-06-08
SCMS-45110,ASN-4046,Air,0009-06-09,0009-06-09,0009-06-09
SCMS-45620,ASN-4511,Air,0009-08-18,0009-08-18,0009-08-18
SCMS-46560,ASN-4709,Air,0009-08-19,0009-08-19,0009-08-19
SCMS-47051,ASN-4837,Truck,0009-10-12,0009-08-03,0009-08-03
SCMS-47090,ASN-4820,Truck,0009-07-21,0009-07-21,0009-07-21
SCMS-42641,ASN-5221,Air,0009-11-11,0009-10-29,0009-10-29
SCMS-48690,ASN-4600,Air,0009-08-07,0009-08-07,0009-08-07
SCMS-28,ASN-16,Air,0006-09-06,0006-09-06,0006-09-06
SCMS-73,ASN-59,Air,0006-10-09,0006-10-09,0006-10-09
SCMS-80,ASN-49,Air,0006-09-01,0006-09-01,0006-09-01
SCMS-81,ASN-55,Air,0006-08-11,0006-08-11,0006-08-11
SCMS-81,ASN-55,Air,0006-08-11,0006-08-11,0006-08-11
SCMS-87,ASN-57,Air,0006-09-28,0006-09-28,0006-09-28
SCMS-87,ASN-57,Air,0006-09-28,0006-09-28,0006-09-28
SCMS-137,ASN-95,Air,0007-01-29,0007-01-29,0007-01-29
SCMS-138,ASN-86,Air,0006-11-13,0006-11-13,0006-11-13
SCMS-156,ASN-93,Air,0006-12-07,0006-12-07,0006-12-07
SCMS-156,ASN-93,Air,0006-12-07,0006-12-07,0006-12-07
SCMS-163,ASN-123,Air,0006-12-20,0006-12-20,0006-12-20
SCMS-168,ASN-276,Air,0007-03-14,0007-03-14,0007-03-14
SCMS-169,ASN-272,Air,0007-03-14,0007-03-14,0007-03-14
SCMS-276,ASN-194,Air,0007-02-07,0007-02-07,0007-02-07
SCMS-313,ASN-542,Air,0007-07-09,0007-07-09,0007-07-09
SCMS-416,ASN-465,Air,0007-06-06,0007-06-06,0007-06-06
SCMS-593,ASN-452,Air,0007-06-28,0007-06-28,0007-06-28
SCMS-687,ASN-544,Air,0007-07-10,0007-07-10,0007-07-10
SCMS-687,ASN-587,Air,0007-07-10,0007-08-03,0007-08-03
SCMS-599,ASN-522,Air,0007-07-04,0007-07-04,0007-07-04
SCMS-749,ASN-737,Air,0007-10-02,0007-10-02,0007-10-02
SCMS-749,ASN-744,Air,0007-10-02,0007-10-02,0007-10-02
SCMS-752,ASN-884,Air,0007-11-08,0007-11-08,0007-11-08
SCMS-10060,ASN-639,Air,0007-09-10,0007-09-10,0007-09-10
SCMS-10310,ASN-893,Air,0007-12-19,0007-12-19,0007-12-19
SCMS-10320,ASN-1114,Air,0008-01-22,0008-01-22,0008-01-22
SCMS-10360,ASN-658,Air,0007-08-29,0007-08-29,0007-08-29
SCMS-11071,ASN-1039,Air,0007-11-20,0007-12-24,0007-12-24
SCMS-11670,ASN-967,Air,0007-12-03,0007-12-03,0007-12-03
SCMS-13510,ASN-1483,Air,0008-03-31,0008-03-31,0008-03-31
SCMS-14050,ASN-1251,,0008-01-29,0008-01-29,0008-01-29
SCMS-14050,ASN-1251,,0008-01-29,0008-01-29,0008-01-29
SCMS-14050,ASN-1251,,0008-01-29,0008-01-29,0008-01-29
SCMS-14140,ASN-1028,Air,0008-01-10,0008-01-10,0008-01-10
SCMS-15460,ASN-2258,Air,0008-08-22,0008-08-22,0008-08-22
SCMS-15880,ASN-1301,Air,0008-02-27,0008-02-18,0008-02-18
SCMS-16600,ASN-1520,,0008-01-21,0008-01-04,0008-01-04
SCMS-16600,ASN-1520,,0008-01-21,0008-01-04,0008-01-04
SCMS-16600,ASN-1520,,0008-01-21,0008-01-04,0008-01-04
SCMS-16600,ASN-1520,,0008-01-21,0008-01-04,0008-01-04
SCMS-16740,ASN-1492,Air,0008-04-08,0008-04-08,0008-04-08
SCMS-16890,ASN-2359,Air,0008-09-19,0008-09-19,0008-09-19
SCMS-16900,ASN-1381,Air,0008-03-12,0008-03-10,0008-03-10
SCMS-16900,ASN-1411,Air,0008-03-12,0008-03-12,0008-03-12
SCMS-17630,ASN-1532,Truck,0008-02-05,0008-01-21,0008-01-21
SCMS-17940,ASN-1405,Air,0008-02-27,0008-02-27,0008-02-27
SCMS-18060,ASN-1651,Air,0008-06-13,0008-06-13,0008-06-13
SCMS-18070,ASN-1576,Air,0008-04-22,0008-05-05,0008-05-05
SCMS-18420,ASN-1468,Air,0008-04-08,0008-04-08,0008-04-08
SCMS-18440,ASN-1563,Air,0008-04-25,0008-04-25,0008-04-25
SCMS-18750,ASN-1611,Air,0008-05-22,0008-05-22,0008-05-22
SCMS-19800,ASN-1664,Truck,0008-04-24,0008-02-29,0008-02-29
SCMS-19800,ASN-1665,Truck,0008-04-24,0008-04-24,0008-04-24
SCMS-20181,ASN-2023,Air,0008-07-07,0008-07-07,0008-07-07
SCMS-20430,ASN-1887,Air,0008-06-17,0008-06-17,0008-06-17
SCMS-20450,ASN-1888,Air,0008-06-20,0008-06-20,0008-06-20
SCMS-22730,ASN-1956,Air,0008-07-31,0008-07-31,0008-07-31
SCMS-22730,ASN-1939,Air,0008-07-31,0008-07-07,0008-07-07
SCMS-22770,ASN-2234,Air,0009-01-20,0008-09-03,0008-09-03
SCMS-22810,ASN-2096,Air,0008-07-01,0008-07-01,0008-07-01
SCMS-23500,ASN-2300,Truck,0008-08-20,0008-05-14,0008-05-14
SCMS-23500,ASN-2293,Truck,0008-08-20,0008-05-08,0008-05-08
SCMS-23500,ASN-2293,Truck,0008-08-20,0008-05-08,0008-05-08
SCMS-24060,ASN-2800,Air,0008-11-17,0008-11-17,0008-11-17
SCMS-25790,ASN-2399,Air,0008-09-26,0008-09-26,0008-09-26
SCMS-26380,ASN-2338,Air,0008-09-20,0008-09-20,0008-09-20
SCMS-26820,ASN-2488,Truck,0008-07-10,0008-07-08,0008-07-08
SCMS-27050,ASN-2572,Air,0008-11-07,0008-10-21,0008-10-21
SCMS-27190,ASN-2391,Air,0008-09-09,0008-09-09,0008-09-09
SCMS-27370,ASN-2806,Air,0008-11-29,0008-11-29,0008-11-29
SCMS-27790,ASN-2641,Air,0008-10-20,0008-10-20,0008-10-20
SCMS-28690,ASN-2840,Air,0008-11-17,0008-11-17,0008-11-17
SCMS-28830,ASN-2502,Truck,0008-08-25,0008-08-18,0008-08-18
SCMS-28830,ASN-2503,Truck,0008-08-25,0008-08-14,0008-08-14
SCMS-28830,ASN-2502,Truck,0008-08-25,0008-08-18,0008-08-18
SCMS-28850,ASN-2513,Air,0008-09-25,0008-09-25,0008-09-25
SCMS-29340,ASN-2921,Air,0009-01-23,0009-01-23,0009-01-23
SCMS-29460,ASN-3047,Air,0009-02-17,0009-02-17,0009-02-17
SCMS-29440,ASN-2403,Air,0008-10-03,0008-10-03,0008-10-03
SCMS-30420,ASN-2992,Air,0008-12-12,0008-12-12,0008-12-12
SCMS-26482,ASN-2589,Air,0008-10-10,0008-10-10,0008-10-10
SCMS-31390,ASN-3508,Air,0009-03-18,0009-03-18,0009-03-18
