PRODUCT_ID,ITEM_DESCRIPTION,DOSAGE,UNIT_OF_MEASURE,LINE_ITEM_QUANTITY,WEIGHT,PACK_PRICE,UNIT_PRICE,LINE_ITEM_INSURANCE_USD
"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",,100,750,171,71.99,0.72,86.39
"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",,100,25,60,350,3.5,14
"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",,25,10000,3335,20,0.8,320
"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",,25,10000,3335,20,0.8,320
"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",,25,10000,3335,20,0.8,320
"Stavudine 30mg, capsules, 60 Caps","Stavudine 30mg, capsules, 60 Caps",30mg,60,64000,4228,1.55,0.03,158.72
"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",,20,10000,3263,27,1.35,432
"Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml","Zidovudine 10mg/ml [Retrovir], oral solution, Bottle, 200 ml",10mg/ml,200,40,Weight Captured Separately,7.94,0.04,0.51
"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",300mg,30,1000,76,17,0.57,27.2
"Zidovudine 300mg, tablets, 60 Tabs","Zidovudine 300mg, tablets, 60 Tabs",300mg,60,400,23,8.38,0.14,5.36
"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,100,1500,99,0.01,0,0.02
"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,100,650,Weight Captured Separately,0.01,0,0.01
"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",1mg/ml,200,200,Weight Captured Separately,1.7,0.01,0.54
"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit, 100 Tests",,100,2,Weight Captured Separately,139,1.39,0.44
"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",,40,476,509,76,1.9,57.88
"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",,25,659,206,20,0.8,25.83
"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,100,240,Weight Captured Separately,0.01,0,0
"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,100,213,14,0.01,0,0
"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit, 100 Tests",,100,63,Weight Captured Separately,212.69,2.13,21.44
"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",,100,1634,373,71.99,0.72,188.21
"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",,20,1425,483,27,1.35,61.56
"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",,100,142,33,71.99,0.72,16.36
"Efavirenz 600mg, tablets, 30 Tabs","Efavirenz 600mg, tablets, 30 Tabs",600mg,30,8400,654,11.48,0.38,154.29
"Saquinavir 200mg [Invirase], capsules, 270 Caps","Saquinavir 200mg [Invirase], capsules, 270 Caps",200mg,270,6,Weight Captured Separately,67.51,0.25,0.65
"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",1mg/ml,200,600,Weight Captured Separately,1.45,0.01,1.39
"Didanosine 25mg [Videx], chewable tablets, 60 Tabs","Didanosine 25mg [Videx], chewable tablets, 60 Tabs",25mg,60,400,81,7,0.12,4.48
"Didanosine 25mg [Videx], chewable tablets, 60 Tabs","Didanosine 25mg [Videx], chewable tablets, 60 Tabs",25mg,60,6,Weight Captured Separately,12.85,0.21,0.12
"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",,100,5498,1251,79.99,0.8,703.66
"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",,100,5498,Weight Captured Separately,0.01,0,0.09
"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",,20,15,Weight Captured Separately,46.09,2.3,1.11
"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs","Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",300mg,30,1344,1537,13.66,0.46,29.37
"Stavudine 20mg [Zerit], capsules, 60 Caps","Stavudine 20mg [Zerit], capsules, 60 Caps",20mg,60,20,Weight Captured Separately,5.17,0.09,0.2
"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps","Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",250mg,30,100,Weight Captured Separately,19.06,0.64,3.05
"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",1mg/ml,200,670,Weight Captured Separately,1.53,0.01,1.64
"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps","Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",400mg,30,2597,117,23.67,0.79,98.35
"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",,100,28,109,350,3.5,15.68
"HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit, 100 Tests",,100,84,54,139,1.39,22.88
"Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs","Abacavir 300mg [Ziagen], tablets, Blister 6 x 10 Tabs",300mg,60,30,Weight Captured Separately,34.98,0.58,1.68
"Lamivudine 150mg, tablets, 60 Tabs","Lamivudine 150mg, tablets, 60 Tabs",150mg,60,38640,2719,2.4,0.04,148.38
"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs","Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",20/120mg,540,34,115,45.52,0.08,2.48
"Stavudine 30mg, capsules, 60 Caps","Stavudine 30mg, capsules, 60 Caps",30mg,60,42000,2600,1.45,0.02,97.44
"Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml","Nevirapine 10mg/ml [Viramune], oral suspension, Bottle, 240 ml",10mg/ml,240,50,Weight Captured Separately,13.93,0.06,1.11
"Efavirenz 600mg, tablets, 30 Tabs","Efavirenz 600mg, tablets, 30 Tabs",600mg,30,16800,1224,10.19,0.34,335.54
"Malaria Paramax-3 Kit, 25 Tests","Malaria Paramax-3 Kit, 25 Tests",,25,98,34,37.5,1.5,5.88
"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",,100,4500,1053,71.99,0.72,634.95
"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",,20,10,Weight Captured Separately,32,1.6,0.51
"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",,40,500,562,76,1.9,60.8
"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs","Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",50+153mg,12,25000,1708,0.39,0.03,19.11
"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs","Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",600/200/300mg,30,9,Weight Captured Separately,50.4,1.68,0.89
"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",,100,150,46,71.99,0.72,21.17
"#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml","#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",,2,15,1,30,15,0.88
"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",,25,319,100,20,0.8,12.5
"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",300mg,30,80,Weight Captured Separately,22.88,0.76,3.59
"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",300mg,30,120,Weight Captured Separately,22.88,0.76,5.38
"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",1mg/ml,200,600,Weight Captured Separately,1.43,0.01,1.68
"Didanosine 100mg [Videx],chewable tablets, 60 Tabs","Didanosine 100mg [Videx],chewable tablets, 60 Tabs",100mg,60,7,Weight Captured Separately,13.05,0.22,0.18
"Stavudine 15mg, capsules, 60 Caps","Stavudine 15mg, capsules, 60 Caps",15mg,60,400,83,1.5,0.02,0.96
"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml","Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",80/20mg/ml,300,40,Weight Captured Separately,34.39,0.11,2.7
"Malaria Paramax-3 Kit, 25 Tests","Malaria Paramax-3 Kit, 25 Tests",,25,108,Weight Captured Separately,37.5,1.5,7.94
"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs","Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",600/200/300mg,30,50000,4093,50.4,1.68,4939.2
"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules","Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",600mg/2ml,100,140,5209,19.51,0.2,5.35
"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",,20,5700,1906,32,1.6,357.5
"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs","Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",150/300mg,60,5964,3509,8.61,0.14,100.65
"Lamivudine 150mg, tablets, 60 Tabs","Lamivudine 150mg, tablets, 60 Tabs",150mg,60,21000,See ASN-3562 (ID#:960),2.4,0.04,98.78
"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs","Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",150/200/30mg,60,10560,924,6.9,0.12,142.81
"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs","Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",150/300mg,60,2352,211,8.61,0.14,39.69
"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml","Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",80/20mg/ml,300,524,644,41.1,0.14,42.21
"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs","Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",100/25mg,60,2094,237,10.28,0.17,42.19
"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests","HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",,30,8249,2800,22.5,0.75,363.78
"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps","Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",400mg,30,200,11,23.67,0.79,9.28
"Didanosine 50mg [Videx], chewable tablets, 60 Tabs","Didanosine 50mg [Videx], chewable tablets, 60 Tabs",50mg,60,80,43,9.5,0.16,1.49
"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml","Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",2g,200,32,See ASN-3675 (ID#:1046),12.59,0.06,0.79
"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs","Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",100/25mg,60,46,10,10.28,0.17,0.93
"Efavirenz 600mg, tablets, 30 Tabs","Efavirenz 600mg, tablets, 30 Tabs",600mg,30,3025,Weight Captured Separately,15.71,0.52,93.14
"Efavirenz 600mg, tablets, 30 Tabs","Efavirenz 600mg, tablets, 30 Tabs",600mg,30,3500,Weight Captured Separately,14.24,0.47,97.69
"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml","Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",10mg/ml,240,1008,Weight Captured Separately,3.56,0.01,7.03
"Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml","Stavudine 1mg/ml [Zerit], powder for oral solution, Bottle, 200 ml",1mg/ml,200,960,Weight Captured Separately,1.2,0.01,2.26
"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml","Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",10mg/ml,240,1800,Weight Captured Separately,5.84,0.02,20.6
"Stavudine 30mg, capsules, 60 Caps","Stavudine 30mg, capsules, 60 Caps",30mg,60,1200,Weight Captured Separately,2.82,0.05,6.63
"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml","Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",10mg/ml,240,346,Weight Captured Separately,5.65,0.02,3.83
"Efavirenz 50mg, capsule, 30 Caps","Efavirenz 50mg, capsule, 30 Caps",50mg,30,5300,Weight Captured Separately,3.14,0.1,32.62
"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml","Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",10mg/ml,240,342,Weight Captured Separately,5.65,0.02,3.79
"Stavudine 15mg [Zerit], capsules, 60 Caps","Stavudine 15mg [Zerit], capsules, 60 Caps",15mg,60,2700,Weight Captured Separately,3.95,0.07,20.9
"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs","Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",200/50mg,120,3735,Weight Captured Separately,35.98,0.3,263.4
"Zidovudine 300mg [Retrovir], tablets, 60 Tabs","Zidovudine 300mg [Retrovir], tablets, 60 Tabs",300mg,60,6000,Weight Captured Separately,13.44,0.22,158.05
"Stavudine 30mg, capsules, 60 Caps","Stavudine 30mg, capsules, 60 Caps",30mg,60,11672,Weight Captured Separately,3,0.05,68.63
"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",,100,20,48,350,3.5,13.72
"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs","Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",200/50mg,120,10240,2523,41.1,0.34,824.89
"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps","Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",100mg,336,400,175,38.36,0.11,30.07
"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml","Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",80/20mg/ml,300,30,Weight Captured Separately,36,0.12,2.12
"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs","Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",300/200mg,30,80,Weight Captured Separately,35.2,1.17,5.52
"Zidovudine 300mg, tablets, 60 Tabs","Zidovudine 300mg, tablets, 60 Tabs",300mg,60,1000,Weight Captured Separately,19.77,0.33,38.75
"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",,100,60,144,350,3.5,41.16
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,7500,2215,80,0.8,1176
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,6395,1915,80,0.8,1002.74
"Efavirenz 600mg, tablets, 30 Tabs","Efavirenz 600mg, tablets, 30 Tabs",600mg,30,55356,4482,6.98,0.23,757.31
"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",,40,1000,1101,110,2.75,215.6
"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps","Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",100mg,336,8,48,76.72,0.23,1.2
"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs","Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",150/300/200mg,60,3500,1804,11.15,0.19,76.49
"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",,100,5,12,350,3.5,3.43
"HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit, 25 Tests",,25,67,48,75,3,9.85
"Didanosine 25mg [Videx], chewable tablets, 60 Tabs","Didanosine 25mg [Videx], chewable tablets, 60 Tabs",25mg,60,400,148,7,0.12,5.49
"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",,20,220,79,32,1.6,13.8
"Ritonavir 100mg [Norvir], capsules, cool, 84 Caps","Ritonavir 100mg [Norvir], capsules, cool, 84 Caps",100mg,84,50,Weight Captured Separately,9.8,0.12,0.96
"Lamivudine 150mg, tablets, 60 Tabs","Lamivudine 150mg, tablets, 60 Tabs",150mg,60,5000,Weight Captured Separately,8.26,0.14,80.95
"Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml","Lamivudine 10mg/ml [Epivir], oral solution, Bottle, 240 ml",10mg/ml,240,460,Weight Captured Separately,6.17,0.03,5.56
"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",,40,147,165,75.35,1.88,
"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",,100,6,15,400,4,
"Didanosine 25mg [Videx], chewable tablets, 60 Tabs","Didanosine 25mg [Videx], chewable tablets, 60 Tabs",25mg,60,2800,555,7,0.12,
"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",,100,15,36,400,4,
"Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps","Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",133.3/33.3mg,180,260,135,42.68,0.24,
"Lamivudine 150mg, tablets, 60 Tabs","Lamivudine 150mg, tablets, 60 Tabs",150mg,60,894,479,3.35,0.06,
"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs","Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",150/300mg,60,25100,2575,11,0.18,
"Stavudine 30mg, capsules, 60 Caps","Stavudine 30mg, capsules, 60 Caps",30mg,60,95500,9170,1.51,0.03,
"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",,20,900,316,40,2,
"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs","Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",200/50mg,120,80,25,41.1,0.34,
"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs","Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",150/200/30mg,60,70000,6813,7.5,0.12,
"Efavirenz 600mg, tablets, 30 Tabs","Efavirenz 600mg, tablets, 30 Tabs",600mg,30,71577,See ASN-242 (ID#:64),15.2,0.51,
"Abacavir 300mg, tablets, 60 Tabs","Abacavir 300mg, tablets, 60 Tabs",300mg,60,5605,See ASN-242 (ID#:64),36.1,0.6,
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,200,Weight Captured Separately,80,0.8,
"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs","Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",150/200/30mg,60,25000,2348,7.5,0.12,300
"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",,40,375,402,76,1.9,
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,4650,1707,80,0.8,
"Didanosine 50mg [Videx], chewable tablets, 60 Tabs","Didanosine 50mg [Videx], chewable tablets, 60 Tabs",50mg,60,1577,306,9.5,0.16,23.97
"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit, 100 Tests",,100,3500,1194,80,0.8,448
"Didanosine 50mg [Videx], chewable tablets, 60 Tabs","Didanosine 50mg [Videx], chewable tablets, 60 Tabs",50mg,60,4270,Weight Captured Separately,9.5,0.16,64.9
"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml","Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",10mg/ml,240,1000,960,1.92,0.01,3.07
