ORDER_ID,FREIGHT_COST,SHIPMENT_MODE,DELIVERY_RECORDED_DATE
SCMS-41480,Freight Included in Commodity Cost,Truck,0009-08-19
SCMS-41581,Freight Included in Commodity Cost,Air,0009-04-14
SCMS-41589,Freight Included in Commodity Cost,Air,0009-04-29
SCMS-41584,Freight Included in Commodity Cost,Air,0009-04-20
SCMS-41870,1172.11,Air,0009-11-13
SCMS-42210,14806.48,Air,0009-06-30
SCMS-42230,7642.97,Air,0009-07-22
SCMS-47390,Freight Included in Commodity Cost,Truck,0009-04-21
SCMS-47430,Freight Included in Commodity Cost,Truck,0009-04-17
SCMS-47500,3134.85,Truck,0009-04-23
SCMS-42720,3128.19,Air,0009-09-16
SCMS-42980,16835.31,Air,0009-07-10
SCMS-43330,24514.33,Air,0009-08-18
SCMS-43890,37404.74,Air,0009-07-25
SCMS-44130,8074.03,Air,0009-09-15
SCMS-44990,3366.04,Air,0009-07-17
SCMS-45080,6341.88,Air,0009-07-10
SCMS-46071,684.42,Air,0009-07-10
SCMS-46120,401.97,Air,0009-09-01
SCMS-46550,14.36,Air,0009-07-28
SCMS-46820,1736.18,Air,0009-06-29
SCMS-46970,Freight Included in Commodity Cost,Truck,0009-07-28
SCMS-47051,Freight Included in Commodity Cost,Truck,0009-08-05
SCMS-47051,Freight Included in Commodity Cost,Truck,0009-07-28
SCMS-1,1816.57,Air,0006-06-27
SCMS-5,1039.5,Air,0006-07-14
SCMS-12,3292.15,Air,0006-11-16
SCMS-74,1195.29,Air,0006-11-09
SCMS-135,Freight Included in Commodity Cost,Air,0006-11-07
SCMS-156,4861.14,Air,0006-12-07
SCMS-169,18772.94,Air,0007-03-14
SCMS-170,42453.21,Air,0007-03-14
SCMS-177,4989.87,Air,0006-12-29
SCMS-211,Freight Included in Commodity Cost,Air,0007-02-15
SCMS-262,31858.09,Air,0007-05-12
SCMS-268,See ASN-242 (ID#:64),Air,0007-02-27
SCMS-268,See ASN-242 (ID#:64),Air,0007-02-27
SCMS-284,Invoiced Separately,Air,0006-12-28
SCMS-314,21439.59,Air,0007-08-24
SCMS-343,4445.75,Air,0007-03-30
SCMS-360,24859.45,Air,0007-01-15
SCMS-610,Freight Included in Commodity Cost,Air,0007-10-23
SCMS-695,5858.57,Air,0007-09-07
SCMS-698,Freight Included in Commodity Cost,Air,0007-10-02
SCMS-749,13762.41,Air,0007-10-02
SCMS-749,See ASN-744 (ID#:1356),Air,0007-10-02
SCMS-753,See ASN-781 (ID#:115),Air,0007-10-15
SCMS-753,4454.62,Air,0007-10-15
SCMS-754,16095.39,Air,0007-11-23
SCMS-757,1767.38,Air,0007-08-27
SCMS-10240,25165.3,Air,0007-09-19
SCMS-13900,7922.24,Air,0008-01-28
SCMS-14050,Freight Included in Commodity Cost,,0008-01-29
SCMS-14050,Freight Included in Commodity Cost,,0008-01-29
SCMS-14170,2535.4,Air,0008-03-28
SCMS-14640,28002.75,Air,0008-01-21
SCMS-14750,1511.25,Air,0008-01-28
SCMS-14760,2429.85,Air,0008-02-01
SCMS-14770,Freight Included in Commodity Cost,Air,0007-12-27
SCMS-15550,2577.27,Air,0008-02-05
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-16730,2496.62,Air,0008-07-03
SCMS-16890,18864.37,Air,0008-07-16
SCMS-17800,55746.59,Air,0008-03-27
SCMS-18030,24689,Air,0008-05-14
SCMS-18240,Freight Included in Commodity Cost,Air,0008-05-30
SCMS-18320,1104.69,Air,0009-03-04
SCMS-18340,5298.9,Air,0008-07-04
SCMS-18420,Invoiced Separately,Air,0008-04-04
SCMS-18450,5175.72,Air,0008-07-22
SCMS-18470,7118.12,Air,0008-12-19
SCMS-18490,3740.04,Air,0008-05-06
SCMS-18500,959.46,Air,0008-07-28
SCMS-18550,604,Air,0008-04-11
SCMS-25090,5446.06,Air,0008-08-16
SCMS-18870,Invoiced Separately,Air,0008-10-21
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-04-24
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-04-24
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-04-24
SCMS-20180,4159.45,Air,0008-06-20
SCMS-20340,3796.05,Air,0008-06-01
SCMS-21270,Freight Included in Commodity Cost,Air,0008-05-09
SCMS-21460,Freight Included in Commodity Cost,,0008-04-07
SCMS-21460,Freight Included in Commodity Cost,,0008-04-25
SCMS-21460,Freight Included in Commodity Cost,,0008-04-07
SCMS-21580,Invoiced Separately,Air,0008-05-28
SCMS-23370,3013.09,Air,0008-10-03
SCMS-23470,7575.6,Air,0008-08-19
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-08
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-21
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-14
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-08
SCMS-23980,2851.72,Air,0008-10-27
SCMS-25520,30408.04,Air,0008-07-22
SCMS-25520,38120.96,Air,0008-07-23
SCMS-26180,See ASN-2274 (ID#:610),Air,0008-09-19
SCMS-26190,5822.44,Air,0008-10-03
SCMS-26820,Freight Included in Commodity Cost,Truck,0008-07-14
SCMS-26820,Freight Included in Commodity Cost,Truck,0008-07-08
SCMS-26820,Freight Included in Commodity Cost,Truck,0008-07-08
SCMS-26820,Freight Included in Commodity Cost,Truck,0008-07-08
SCMS-27010,7303.52,Air,0008-09-22
SCMS-27030,1047.39,Air,0008-10-29
SCMS-27060,24870.05,Air,0008-10-15
SCMS-27070,19992.75,Air,0008-09-12
SCMS-27290,2709.98,Air,0008-12-02
SCMS-27310,2568.6,Air,0008-11-24
SCMS-27350,3247.73,Air,0008-11-25
SCMS-27380,2335.19,Air,0008-12-03
SCMS-27680,648.27,Air,0008-12-15
SCMS-27800,11066.17,Air,0008-10-13
SCMS-27800,7303.25,Air,0008-11-03
SCMS-28710,44347.71,Air,0008-10-07
SCMS-28830,Freight Included in Commodity Cost,Truck,0008-08-14
SCMS-28830,Freight Included in Commodity Cost,Truck,0008-08-14
SCMS-32630,19882.25,Air,0009-01-20
SCMS-32640,22433.91,Air,0008-12-03
SCMS-32660,Freight Included in Commodity Cost,Air,0009-02-03
SCMS-33070,2653.27,Air,0008-11-27
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33820,22451.67,Air,0009-04-08
SCMS-33850,963.34,Air,0009-01-27
SCMS-36540,692.38,Air,0009-01-27
SCMS-37060,1003.52,Air,0009-03-02
SCMS-37160,9809.7,Air,0009-04-07
SCMS-37170,See ASN-3562 (ID#:960),Air,0009-04-10
SCMS-37370,7933.38,Air,0009-04-08
SCMS-38160,3241.06,Air,0009-03-16
SCMS-39970,1903.54,Air,0009-04-02
SCMS-40370,25052.69,Air,0009-05-26
SCMS-40780,Freight Included in Commodity Cost,Air,0008-11-28
SCMS-40790,Freight Included in Commodity Cost,Air,0008-12-01
SCMS-40810,Freight Included in Commodity Cost,Air,0008-12-02
SCMS-40860,Freight Included in Commodity Cost,Air,0009-01-29
SCMS-41070,Freight Included in Commodity Cost,Air,0008-12-30
SCMS-41080,Freight Included in Commodity Cost,Air,0009-01-22
SCMS-41140,Freight Included in Commodity Cost,Air,0008-11-21
SCMS-41190,Freight Included in Commodity Cost,Air,0009-01-21
SCMS-41190,Freight Included in Commodity Cost,Air,0009-01-21
SCMS-41240,428.91,Air,0009-05-04
SCMS-41450,Freight Included in Commodity Cost,Truck,0009-04-17
SCMS-41584,Freight Included in Commodity Cost,Air,0009-04-20
SCMS-41584,Freight Included in Commodity Cost,Air,0009-04-20
SCMS-30312,853.88,Air,0009-04-20
SCMS-47420,Freight Included in Commodity Cost,Air,0009-04-20
SCMS-47360,Freight Included in Commodity Cost,Truck,0009-05-04
SCMS-42250,Freight Included in Commodity Cost,Truck,0009-06-08
SCMS-42290,1859.79,Air,0009-06-05
SCMS-42320,1205.7,Air,0009-07-01
SCMS-47500,See ASN-4332 (ID#:1115),Truck,0009-04-23
SCMS-42830,1332.43,Air,0009-05-20
SCMS-42970,12561.4,Air,0009-06-18
SCMS-42970,275,Air,0009-06-18
SCMS-36892,3777.93,Air,0009-07-14
SCMS-43880,30661.5,Air,0009-07-20
SCMS-44120,8114.11,Air,0009-07-15
SCMS-44960,2008.54,Air,0009-06-15
SCMS-44980,4111.71,Air,0009-06-08
SCMS-45110,4318.21,Air,0009-06-09
SCMS-45620,1484.75,Air,0009-08-18
SCMS-46560,Freight Included in Commodity Cost,Air,0009-08-19
SCMS-47051,Freight Included in Commodity Cost,Truck,0009-08-03
SCMS-47090,Freight Included in Commodity Cost,Truck,0009-07-21
SCMS-42641,5962.58,Air,0009-10-29
SCMS-48690,314,Air,0009-08-07
SCMS-28,1845.74,Air,0006-09-06
SCMS-73,854.34,Air,0006-10-09
SCMS-80,7682.69,Air,0006-09-01
SCMS-81,See ASN-55 (ID#:16),Air,0006-08-11
SCMS-81,See ASN-55 (ID#:16),Air,0006-08-11
SCMS-87,See ASN-57 (ID#:23),Air,0006-09-28
SCMS-87,See ASN-57 (ID#:23),Air,0006-09-28
SCMS-137,3850.8,Air,0007-01-29
SCMS-138,14364.29,Air,0006-11-13
SCMS-156,See ASN-93 (ID#:1281),Air,0006-12-07
SCMS-156,See ASN-93 (ID#:1281),Air,0006-12-07
SCMS-163,49824.57,Air,0006-12-20
SCMS-168,25124.12,Air,0007-03-14
SCMS-169,See ASN-272 (ID#:1282),Air,0007-03-14
SCMS-276,1498.02,Air,0007-02-07
SCMS-313,21150.56,Air,0007-07-09
SCMS-416,Freight Included in Commodity Cost,Air,0007-06-06
SCMS-593,3004.62,Air,0007-06-28
SCMS-687,28118.58,Air,0007-07-10
SCMS-687,43664.71,Air,0007-08-03
SCMS-599,22838.29,Air,0007-07-04
SCMS-749,18045.24,Air,0007-10-02
SCMS-749,See ASN-744 (ID#:1356),Air,0007-10-02
SCMS-752,2514.05,Air,0007-11-08
SCMS-10060,2326.1,Air,0007-09-10
SCMS-10310,27791.62,Air,0007-12-19
SCMS-10320,14505.37,Air,0008-01-22
SCMS-10360,Invoiced Separately,Air,0007-08-29
SCMS-11071,6755.81,Air,0007-12-24
SCMS-11670,6524.19,Air,0007-12-03
SCMS-13510,Freight Included in Commodity Cost,Air,0008-03-31
SCMS-14050,Freight Included in Commodity Cost,,0008-01-29
SCMS-14050,Freight Included in Commodity Cost,,0008-01-29
SCMS-14050,Freight Included in Commodity Cost,,0008-01-29
SCMS-14140,38425.29,Air,0008-01-10
SCMS-15460,Invoiced Separately,Air,0008-08-22
SCMS-15880,Invoiced Separately,Air,0008-02-18
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-16740,Freight Included in Commodity Cost,Air,0008-04-08
SCMS-16890,20635.3,Air,0008-09-19
SCMS-16900,12770.05,Air,0008-03-10
SCMS-16900,8213.59,Air,0008-03-12
SCMS-17630,Freight Included in Commodity Cost,Truck,0008-01-21
SCMS-17940,Freight Included in Commodity Cost,Air,0008-02-27
SCMS-18060,Invoiced Separately,Air,0008-06-13
SCMS-18070,4113.16,Air,0008-05-05
SCMS-18420,515.48,Air,0008-04-08
SCMS-18440,5303.05,Air,0008-04-25
SCMS-18750,2642.45,Air,0008-05-22
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-02-29
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-04-24
SCMS-20181,5260.46,Air,0008-07-07
SCMS-20430,2789.74,Air,0008-06-17
SCMS-20450,2879.96,Air,0008-06-20
SCMS-22730,641.04,Air,0008-07-31
SCMS-22730,Invoiced Separately,Air,0008-07-07
SCMS-22770,1038.39,Air,0008-09-03
SCMS-22810,Freight Included in Commodity Cost,Air,0008-07-01
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-14
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-08
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-08
SCMS-24060,2873.56,Air,0008-11-17
SCMS-25790,34902.96,Air,0008-09-26
SCMS-26380,5921.97,Air,0008-09-20
SCMS-26820,Freight Included in Commodity Cost,Truck,0008-07-08
SCMS-27050,29954.15,Air,0008-10-21
SCMS-27190,330,Air,0008-09-09
SCMS-27370,2147.61,Air,0008-11-29
SCMS-27790,See ASN-2641 (ID#:670),Air,0008-10-20
SCMS-28690,46117.09,Air,0008-11-17
SCMS-28830,Freight Included in Commodity Cost,Truck,0008-08-18
SCMS-28830,Freight Included in Commodity Cost,Truck,0008-08-14
SCMS-28830,Freight Included in Commodity Cost,Truck,0008-08-18
SCMS-28850,Invoiced Separately,Air,0008-09-25
SCMS-29340,See ASN-2921 (ID#:719),Air,0009-01-23
SCMS-29460,3499.18,Air,0009-02-17
SCMS-29440,2648.82,Air,0008-10-03
SCMS-30420,25080.52,Air,0008-12-12
SCMS-26482,1727.2,Air,0008-10-10
SCMS-31390,12646.15,Air,0009-03-18
SCMS-31730,3854.23,Air,0009-02-23
SCMS-31810,2946.64,Air,0009-01-22
SCMS-32250,378,Air,0008-12-09
SCMS-32630,20083.74,Air,0009-01-20
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33700,3261.37,Air,0009-01-19
SCMS-33830,22775.45,Air,0009-02-05
SCMS-33850,See ASN-3110 (ID#:2173),Air,0009-01-27
SCMS-35560,4457.29,Air,0009-03-13
SCMS-35570,1083.36,Air,0009-03-17
SCMS-37210,2525.73,Air,0009-04-11
SCMS-37160,See ASN-3561 (ID#:2297),Air,0009-04-07
SCMS-38690,3936.25,Air,0009-04-01
SCMS-40000,See ASN-3675 (ID#:1046),Air,0009-03-31
SCMS-40030,2490.67,Air,0009-04-15
SCMS-40780,Freight Included in Commodity Cost,Air,0008-11-28
SCMS-40780,Freight Included in Commodity Cost,Air,0008-11-28
SCMS-40790,Freight Included in Commodity Cost,Air,0008-12-01
SCMS-40820,Freight Included in Commodity Cost,Air,0008-12-04
SCMS-40890,Freight Included in Commodity Cost,Air,0009-01-02
SCMS-41040,Freight Included in Commodity Cost,Air,0008-12-03
SCMS-41050,4230.75,Air,0008-12-05
SCMS-41080,Freight Included in Commodity Cost,Air,0009-01-22
SCMS-41100,Freight Included in Commodity Cost,Air,0009-04-03
SCMS-41100,Freight Included in Commodity Cost,Air,0009-04-17
SCMS-41140,Freight Included in Commodity Cost,Air,0008-11-21
SCMS-41190,Freight Included in Commodity Cost,Air,0009-01-21
SCMS-41190,Freight Included in Commodity Cost,Air,0009-01-21
SCMS-41210,Freight Included in Commodity Cost,Air,0009-01-23
SCMS-41220,Freight Included in Commodity Cost,Air,0009-01-23
SCMS-41461,Freight Included in Commodity Cost,Air,0009-04-20
SCMS-41582,Freight Included in Commodity Cost,Air,0009-04-08
SCMS-749,See ASN-737 (ID#:2765),Air,0007-10-02
SCMS-41582,Freight Included in Commodity Cost,Air,0009-04-08
SCMS-41583,Freight Included in Commodity Cost,Air,0009-04-09
SCMS-41583,Freight Included in Commodity Cost,Air,0009-04-09
SCMS-41585,Freight Included in Commodity Cost,Air,0009-04-21
SCMS-41580,Freight Included in Commodity Cost,Truck,0009-06-05
SCMS-41880,684.42,Air,0009-07-10
SCMS-47350,Freight Included in Commodity Cost,Truck,0009-05-04
SCMS-42961,17974.65,Air,0009-08-28
SCMS-43870,61925.7,Air,0009-09-21
SCMS-44720,2760.11,Air,0009-05-20
SCMS-44820,Freight Included in Commodity Cost,Air,0009-08-11
SCMS-45000,10048.1,Air,0009-07-21
SCMS-45020,4453.71,Air,0009-08-03
SCMS-45070,9931.49,Air,0009-07-10
SCMS-45070,See ASN-4419 (ID#:3851),Air,0009-07-10
SCMS-46070,597.43,Air,0009-06-12
SCMS-46540,Freight Included in Commodity Cost,Air,0009-07-23
SCMS-47050,Freight Included in Commodity Cost,Truck,0009-07-21
SCMS-47050,Freight Included in Commodity Cost,Truck,0009-07-21
SCMS-47051,Freight Included in Commodity Cost,Truck,0009-07-28
SCMS-47051,Freight Included in Commodity Cost,Truck,0009-07-28
SCMS-47051,Freight Included in Commodity Cost,Truck,0009-07-28
SCMS-47070,Freight Included in Commodity Cost,Truck,0009-08-31
SCMS-2,633.73,Air,0006-05-10
SCMS-157,5595.44,Air,0006-12-21
SCMS-171,13981.96,Air,0007-03-27
SCMS-288,5714.31,Air,0007-01-17
SCMS-290,17928.53,Air,0007-03-09
SCMS-291,5157.65,Air,0006-11-20
SCMS-352,963.73,Air,0007-02-20
SCMS-540,4702.79,Air,0007-05-08
SCMS-592,3906.29,Air,0007-08-06
SCMS-762,2923.46,Air,0007-09-10
SCMS-767,Invoiced Separately,Air,0007-08-09
SCMS-785,Freight Included in Commodity Cost,Air,0007-08-27
SCMS-10260,28466.06,Air,0007-10-16
SCMS-10340,22856.02,Air,0008-11-19
SCMS-11650,Invoiced Separately,Air,0007-09-21
SCMS-12370,1711.86,Air,0007-10-25
SCMS-14050,Freight Included in Commodity Cost,,0008-01-29
SCMS-14050,Freight Included in Commodity Cost,,0008-01-24
SCMS-14140,See ASN-1028 (ID#:2927),Air,0008-01-10
SCMS-14221,10500,Air,0008-04-22
SCMS-14211,5866.31,Air,0008-03-07
SCMS-14930,See ASN-1231 (ID#:2947),Air,0008-01-22
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-16600,Freight Included in Commodity Cost,,0008-01-04
SCMS-17670,910.86,Air,0008-04-11
SCMS-17720,Freight Included in Commodity Cost,Truck,0008-02-04
SCMS-18240,8690.26,Air,0008-06-06
SCMS-18280,6924.83,Air,0008-04-17
SCMS-18350,15987.05,Air,0008-07-11
SCMS-18460,4014.57,Air,0008-09-26
SCMS-18510,4717.51,Air,0008-07-21
SCMS-18730,Invoiced Separately,Air,0008-06-23
SCMS-19110,Freight Included in Commodity Cost,Air,0008-06-14
SCMS-19130,Invoiced Separately,Air,0008-06-04
SCMS-19800,Freight Included in Commodity Cost,Truck,0008-04-24
SCMS-20181,See ASN-2023 (ID#:3094),Air,0008-07-07
SCMS-20390,7526.06,Air,0008-08-12
SCMS-20400,7265.05,Air,0008-09-19
SCMS-20410,4393.32,Air,0008-07-16
SCMS-20420,3449.4,Air,0008-07-14
SCMS-22780,Freight Included in Commodity Cost,Air,0008-01-03
SCMS-23310,5412.14,Air,0008-10-11
SCMS-23320,5881.57,Air,0008-09-19
SCMS-23330,5551.97,Air,0008-09-19
SCMS-23380,2035.66,Air,0008-09-30
SCMS-23450,See ASN-2336 (ID#:530),Air,0008-09-19
SCMS-23500,Freight Included in Commodity Cost,Truck,0008-05-08
SCMS-23820,3684.28,Air,0008-08-06
SCMS-25540,Freight Included in Commodity Cost,Truck,0008-06-09
SCMS-25700,19569.48,Air,0008-11-18
SCMS-23611,Freight Included in Commodity Cost,Air,0008-11-03
SCMS-27010,See ASN-2448 (ID#:1939),Air,0008-09-22
SCMS-27040,3976.33,Air,0008-10-01
SCMS-27750,1225.17,Air,0008-11-18
SCMS-27760,559.95,Air,0008-10-02
SCMS-26171,3171.36,Air,0008-09-25
SCMS-28650,Freight Included in Commodity Cost,Air,0008-08-27
SCMS-28690,46117.09,Air,0008-11-17
SCMS-28700,44360.44,Air,0008-10-28
SCMS-28720,44347.71,Air,0008-10-06
SCMS-28730,23743.01,Air,0008-11-01
SCMS-30310,16414.22,Air,0009-03-10
SCMS-30720,7078.9,Air,0008-10-08
SCMS-33150,Freight Included in Commodity Cost,Air,0009-02-20
SCMS-33320,Freight Included in Commodity Cost,Truck,0008-10-09
SCMS-33690,4810.99,Air,0009-03-02
SCMS-34310,4856.14,Air,0009-01-27
SCMS-34690,3451.41,Air,0009-06-15
SCMS-35550,1097.78,Air,0009-01-23
SCMS-37170,See ASN-3562 (ID#:960),Air,0009-04-10
SCMS-37770,1205.43,Air,0009-03-26
SCMS-38270,812,Air,0009-03-25
SCMS-38410,12620.12,Air,0009-08-11
SCMS-40780,Freight Included in Commodity Cost,Air,0008-11-28
SCMS-40780,Freight Included in Commodity Cost,Air,0008-11-28
SCMS-40790,Freight Included in Commodity Cost,Air,0008-12-01
SCMS-40810,Freight Included in Commodity Cost,Air,0008-12-02
SCMS-40850,Freight Included in Commodity Cost,Air,0009-01-28
SCMS-40880,Freight Included in Commodity Cost,Air,0009-02-02
SCMS-41040,Freight Included in Commodity Cost,Air,0008-12-03
SCMS-41060,Freight Included in Commodity Cost,Air,0008-12-23
SCMS-41060,Freight Included in Commodity Cost,Air,0008-12-23
SCMS-41080,Freight Included in Commodity Cost,Air,0009-01-22
SCMS-41140,Freight Included in Commodity Cost,Air,0008-11-21
SCMS-41140,Freight Included in Commodity Cost,Air,0008-11-21
SCMS-41140,Freight Included in Commodity Cost,Air,0008-11-21
SCMS-41150,Freight Included in Commodity Cost,Air,0008-11-21
SCMS-41160,1521.4,Air,0008-11-26
SCMS-41180,Freight Included in Commodity Cost,Air,0009-02-11
SCMS-41190,Freight Included in Commodity Cost,Air,0009-01-21
SCMS-41190,Freight Included in Commodity Cost,Air,0009-01-21
SCMS-41190,Freight Included in Commodity Cost,Air,0009-01-21
SCMS-41465,Freight Included in Commodity Cost,Air,0009-06-25
SCMS-41586,Freight Included in Commodity Cost,Air,0009-04-15
SCMS-41890,1119.99,Air,0009-04-17
SCMS-42260,Freight Included in Commodity Cost,Truck,0009-04-17
SCMS-42430,Freight Included in Commodity Cost,Truck,0009-05-15
SCMS-47380,Freight Included in Commodity Cost,Truck,0009-04-21
SCMS-43900,19023.36,Air,0009-08-12
SCMS-43960,17170.07,Air,0009-09-03
SCMS-44050,9471.52,Air,0009-06-09
SCMS-44050,2199.43,Air,0009-06-17
SCMS-44970,17643.81,Air,0009-05-27
SCMS-46500,3310.89,Air,0009-07-30
SCMS-47050,Freight Included in Commodity Cost,Truck,0009-07-21
