PLANTCODE_CONSTRAINT_ID,ORDER_ID,FREIGHT_RATES_ID,MIN_WEIGHT_QUANT,MAX_WEIGHT_QUANT,MIN_COST,RATE,TPT_DAY_COUNT,COST_PER_UNIT,DAILY_CAPACITY,SHIP_AHEAD_DAY_COUNT,SHIP_LATE_DAY_COUNT,UNIT_QUANT,WEIGHT
,,4423,20,19.958048,$5.21,$6.85,3,,,,,,
,,4424,20,20.41164,$5.25,$2.93,3,,,,,,
,,4425,20,20.865232,$5.29,$5.01,3,,,,,,
,,4426,21,21.318824,$5.32,$3.09,3,,,,,,
,,4427,21,21.772416,$5.36,$5.16,3,,,,,,
,,4428,22,22.226008,$5.39,$5.24,3,,,,,,
,,4429,22,22.6796,$5.43,$3.32,3,,,,,,
,,4430,23,23.133192,$5.47,$6.41,3,,,,,,
,,4431,23,23.586784,$5.50,$7.49,3,,,,,,
,,4432,24,24.040376,$5.54,$5.57,3,,,,,,
,,4433,24,24.493968,$5.58,$6.65,3,,,,,,
,,4434,24,24.94756,$5.62,$7.73,3,,,,,,
,,4435,25,25.401152,$5.65,$5.82,3,,,,,,
,,4436,25,25.854744,$5.69,$4.90,3,,,,,,
,,4437,26,26.308336,$5.73,$6.98,3,,,,,,
,,4438,26,26.761928,$5.76,$6.06,3,,,,,,
,,4439,27,27.21552,$5.80,$6.14,3,,,,,,
,,4440,27,27.669112,$5.84,$7.23,3,,,,,,
,,4441,28,28.122704,$5.88,$3.31,3,,,,,,
,,4442,28,28.576296,$5.91,$9.39,3,,,,,,
,,4443,29,29.029888,$5.95,$5.47,3,,,,,,
,,4444,29,29.48348,$5.99,$6.55,3,,,,,,
,,4445,29,29.937072,$7.02,$4.64,3,,,,,,
,,4446,30,30.390664,$7.06,$5.72,3,,,,,,
,,4447,30,30.844256,$7.10,$6.80,3,,,,,,
,,4448,31,31.297848,$7.14,$7.88,3,,,,,,
,,4449,31,31.75144,$7.17,$8.96,3,,,,,,
,,4450,32,32.205032,$7.21,$9.04,3,,,,,,
,,4451,32,32.658624,$7.24,$8.11,3,,,,,,
,,4452,33,33.112216,$7.27,$7.18,3,,,,,,
,,4453,33,33.565808,$7.30,$7.25,3,,,,,,
,,4454,34,34.0194,$7.34,$8.33,3,,,,,,
,,4455,34,34.472992,$7.37,$6.40,3,,,,,,
,,4456,34,34.926584,$7.40,$4.47,3,,,,,,
,,4457,35,35.380176,$7.44,$8.54,3,,,,,,
,,4458,35,35.833768,$7.47,$5.61,3,,,,,,
,,4459,36,36.28736,$7.50,$6.69,3,,,,,,
,,4460,36,36.740952,$7.53,$5.76,3,,,,,,
,,4461,37,37.194544,$7.57,$10.83,3,,,,,,
,,4462,37,37.648136,$7.60,$4.90,3,,,,,,
,,4463,38,38.101728,$7.63,$10.98,3,,,,,,
,,4464,38,38.55532,$7.67,$11.05,3,,,,,,
,,4465,39,39.008912,$7.70,$5.12,3,,,,,,
,,4466,39,39.462504,$7.73,$5.19,3,,,,,,
,,4467,39,39.916096,$7.76,$9.27,3,,,,,,
,,4468,40,40.369688,$7.80,$4.34,3,,,,,,
,,4469,40,40.82328,$7.83,$5.41,3,,,,,,
,,4470,41,41.276872,$7.86,$10.48,3,,,,,,
,,4471,41,41.730464,$7.90,$12.55,3,,,,,,
,,4472,42,42.184056,$7.93,$12.63,3,,,,,,
,,4473,42,42.637648,$7.96,$6.70,3,,,,,,
,,4474,43,43.09124,$7.99,$8.77,3,,,,,,
,,4475,43,43.544832,$9.03,$4.84,3,,,,,,
,,4476,44,43.998424,$9.06,$5.92,3,,,,,,
,,4477,44,44.452016,$9.09,$10.99,3,,,,,,
,,4478,44,44.905608,$9.12,$11.06,3,,,,,,
,,4479,45,45.3592,$9.16,$12.13,3,,,,,,
,,4480,45,45.812792,$9.20,$11.22,3,,,,,,
,,4481,46,46.266384,$9.24,$8.31,3,,,,,,
,,4482,46,46.719976,$9.28,$12.40,3,,,,,,
,,4483,47,47.173568,$9.32,$11.49,3,,,,,,
,,4484,47,47.62716,$9.36,$12.58,3,,,,,,
,,4485,48,48.080752,$9.40,$9.67,3,,,,,,
,,4486,48,48.534344,$9.44,$13.76,3,,,,,,
,,4487,49,48.987936,$9.48,$5.85,3,,,,,,
,,4488,49,49.441528,$9.52,$5.93,3,,,,,,
,,4489,49,49.89512,$9.56,$15.02,3,,,,,,
,,4490,50,50.348712,$9.60,$13.11,3,,,,,,
,,4491,50,50.802304,$9.64,$14.20,3,,,,,,
,,4492,51,51.255896,$9.68,$13.29,3,,,,,,
,,4493,51,51.709488,$9.72,$8.38,3,,,,,,
,,4494,52,52.16308,$9.76,$13.47,3,,,,,,
,,4495,52,52.616672,$9.80,$8.56,3,,,,,,
,,4496,53,53.070264,$9.84,$15.65,3,,,,,,
,,4497,53,53.523856,$9.88,$14.74,3,,,,,,
,,4498,54,53.977448,$9.93,$8.83,3,,,,,,
,,4499,54,54.43104,$9.97,$7.91,3,,,,,,
,,4500,54,54.884632,$11.01,$7.00,3,,,,,,
,,4501,55,55.338224,$11.05,$11.09,3,,,,,,
,,4502,55,55.791816,$11.09,$8.18,3,,,,,,
,,4503,56,56.245408,$11.13,$9.27,3,,,,,,
,,4504,56,56.699,$11.17,$14.36,3,,,,,,
,,4505,57,57.152592,$11.21,$16.45,3,,,,,,
,,4506,57,57.606184,$11.25,$12.54,3,,,,,,
,,4507,58,58.059776,$11.29,$13.63,3,,,,,,
,,4508,58,58.513368,$11.33,$15.72,3,,,,,,
,,4509,59,58.96696,$11.37,$10.81,3,,,,,,
,,4510,59,59.420552,$11.41,$7.89,3,,,,,,
,,4511,59,59.874144,$11.45,$16.98,3,,,,,,
,,4512,60,60.327736,$11.49,$8.07,3,,,,,,
,,4513,60,60.781328,$11.53,$16.16,3,,,,,,
,,4514,61,61.23492,$11.57,$8.25,3,,,,,,
,,4515,61,61.688512,$11.61,$17.34,3,,,,,,
,,4516,62,62.142104,$11.65,$14.43,3,,,,,,
,,4517,62,62.595696,$11.69,$17.52,3,,,,,,
,,4518,63,63.049288,$11.73,$13.61,3,,,,,,
,,4519,63,63.50288,$11.77,$18.70,3,,,,,,
,,4520,64,63.956472,$11.81,$6.78,3,,,,,,
,,4521,64,64.410064,$11.85,$11.87,3,,,,,,
,,4522,64,64.863656,$11.89,$18.96,3,,,,,,
,,4523,65,65.317248,$11.94,$18.05,3,,,,,,
,,4524,65,65.77084,$11.98,$11.14,3,,,,,,
,,4525,66,66.224432,$13.02,$13.23,3,,,,,,
,,4526,66,66.678024,$13.06,$11.32,3,,,,,,
,,4527,67,67.131616,$13.10,$10.41,3,,,,,,
,,4528,67,67.585208,$13.14,$17.50,3,,,,,,
,,4529,68,68.0388,$13.18,$11.59,3,,,,,,
,,4530,68,45359.19546,$13.25,$0.12,3,,,,,,
,,4531,2000,99999.99,$13.67,$0.09,2,,,,,,
,,4532,0,99.99,$13.67,$0.09,2,,,,,,
,,4533,100,249.99,$13.67,$0.09,2,,,,,,
,,4534,250,499.99,$13.67,$0.09,2,,,,,,
,,4535,500,1999.99,$13.67,$0.09,2,,,,,,
,,4536,0,99.99,$5.43,$0.07,2,,,,,,
,,4537,500,1999.99,$5.43,$0.07,2,,,,,,
,,4538,2000,99999.99,$5.43,$0.07,2,,,,,,
,,4539,250,499.99,$5.43,$0.07,2,,,,,,
,,4540,100,249.99,$5.43,$0.07,2,,,,,,
,,4541,0,0.5,$1.34,$0.34,2,,,,,,
,,4542,0,0.5,$1.43,$0.43,2,,,,,,
,,4543,1,1,$1.43,$0.43,2,,,,,,
,,4544,1,1.5,$1.52,$0.52,2,,,,,,
,,4545,2,2,$1.61,$0.61,2,,,,,,
,,4546,2,2.5,$1.71,$0.71,2,,,,,,
,,4547,0,0.5,$1.48,$0.48,2,,,,,,
,,4548,1,1,$1.48,$0.48,2,,,,,,
,,4549,1,1.5,$1.48,$0.48,2,,,,,,
,,4550,2,2,$1.48,$0.48,2,,,,,,
,,4551,2,2.5,$1.48,$0.48,2,,,,,,
,,4552,3,3,$1.48,$0.48,2,,,,,,
,,4553,3,3.5,$1.51,$0.51,2,,,,,,
,,4554,4,4,$1.55,$0.55,2,,,,,,
,,4555,4,4.5,$1.59,$0.59,2,,,,,,
,,4556,5,5,$1.63,$0.63,2,,,,,,
,,4557,5,5.5,$1.68,$0.68,2,,,,,,
,,4558,6,6,$1.72,$0.72,2,,,,,,
,,4559,6,6.5,$1.76,$0.76,2,,,,,,
,,4560,7,7,$1.81,$0.81,2,,,,,,
,,4561,7,7.5,$1.85,$0.85,2,,,,,,
,,4562,8,8,$1.89,$0.89,2,,,,,,
,,4563,8,8.5,$1.93,$0.93,2,,,,,,
,,4564,9,9,$1.98,$0.98,2,,,,,,
,,4565,9,9.5,$3.02,$1.02,2,,,,,,
,,4566,10,10,$3.06,$1.06,2,,,,,,
,,4567,10,10.5,$3.10,$1.10,2,,,,,,
,,4568,11,11,$3.14,$1.14,2,,,,,,
,,4569,11,11.5,$3.18,$1.18,2,,,,,,
,,4570,12,12,$3.22,$1.22,2,,,,,,
,,4571,12,12.5,$3.26,$1.26,2,,,,,,
,,4572,13,13,$3.30,$1.30,2,,,,,,
,,4573,13,13.5,$3.34,$1.34,2,,,,,,
,,4574,14,14,$3.38,$1.38,2,,,,,,
,,4575,14,14.5,$3.42,$1.42,2,,,,,,
,,4576,15,15,$3.46,$1.46,2,,,,,,
,,4577,15,15.5,$3.50,$1.50,2,,,,,,
,,4578,16,16,$3.54,$1.54,2,,,,,,
,,4579,16,16.5,$3.55,$1.55,2,,,,,,
,,4580,17,17,$3.55,$1.55,2,,,,,,
,,4581,17,17.5,$3.55,$1.55,2,,,,,,
,,4582,18,18,$3.55,$1.55,2,,,,,,
,,4583,18,18.5,$3.55,$1.55,2,,,,,,
,,4584,19,19,$3.55,$1.55,2,,,,,,
,,4585,19,19.5,$3.55,$1.55,2,,,,,,
,,4586,20,20,$3.55,$1.55,2,,,,,,
,,4587,20,20.5,$3.55,$1.55,2,,,,,,
,,4588,21,21,$3.55,$1.55,2,,,,,,
,,4589,21,21.5,$3.62,$1.62,2,,,,,,
,,4590,22,22,$3.62,$1.62,2,,,,,,
,,4591,22,22.5,$3.70,$1.70,2,,,,,,
,,4592,23,23,$3.70,$1.70,2,,,,,,
,,4593,23,23.5,$3.77,$1.77,2,,,,,,
,,4594,24,24,$3.77,$1.77,2,,,,,,
,,4595,24,24.5,$3.84,$1.84,2,,,,,,
,,4596,25,25,$3.84,$1.84,2,,,,,,
,,4597,25,25.5,$3.91,$1.91,2,,,,,,
,,4598,26,26,$3.91,$1.91,2,,,,,,
,,4599,26,26.5,$3.99,$1.99,2,,,,,,
,,4600,27,27,$3.99,$1.99,2,,,,,,
,,4601,27,27.5,$5.06,$2.06,2,,,,,,
,,4602,28,28,$5.06,$1.06,2,,,,,,
,,4603,28,28.5,$5.13,$1.13,2,,,,,,
,,4604,29,29,$5.13,$1.13,2,,,,,,
,,4605,29,29.5,$5.20,$1.20,2,,,,,,
,,4606,30,30,$5.20,$1.20,2,,,,,,
,,4607,30,30.5,$5.28,$2.28,2,,,,,,
